,Value,Mean_Value(10)
584,-45.53466,-45.53423938751221
585,-45.534668,-45.534251861572265
586,-45.534668,-45.534264183044435
587,-45.53467,-45.53427612304687
588,-45.534676,-45.53428779602051
589,-45.534676,-45.534299240112304
590,-45.534676,-45.53431041717529
591,-45.53469,-45.53432155609131
592,-45.53469,-45.53433235168457
593,-45.53469,-45.53434284210205
594,-45.53469,-45.53435306549072
595,-45.53469,-45.534362983703616
596,-45.534702,-45.53437278747558
597,-45.534706,-45.53438251495361
598,-45.534706,-45.53439197540283
599,-45.53471,-45.5344013595581
600,-45.53471,-45.53441051483154
601,-45.53471,-45.534419479370115
602,-45.53471,-45.53442825317383
603,-45.53471,-45.534436836242676
604,-45.53471,-45.534445190429686
605,-45.53471,-45.53445343017578
606,-45.534718,-45.53446151733399
607,-45.53472,-45.53446937561035
608,-45.53472,-45.53447700500488
609,-45.53472,-45.5344843673706
610,-45.53472,-45.534491539001465
611,-45.53472,-45.53449848175049
612,-45.53472,-45.534505195617676
613,-45.53473,-45.53451183319092
614,-45.53473,-45.53451839447021
615,-45.53473,-45.53452487945557
616,-45.534737,-45.53453128814697
617,-45.534737,-45.53453758239746
618,-45.534737,-45.53454383850098
619,-45.53474,-45.534549980163575
620,-45.53474,-45.53455593109131
621,-45.53474,-45.534561729431154
622,-45.53474,-45.53456733703613
623,-45.534748,-45.53457286834717
624,-45.534748,-45.534578247070314
625,-45.534748,-45.53458343505859
626,-45.534748,-45.5345885848999
627,-45.534748,-45.53459362030029
628,-45.53475,-45.53459850311279
629,-45.53475,-45.53460319519043
630,-45.53475,-45.53460777282715
631,-45.53475,-45.53461219787598
632,-45.53476,-45.53461658477783
633,-45.53476,-45.534620933532715
634,-45.53476,-45.534625129699705
635,-45.53476,-45.53462924957275
636,-45.534763,-45.53463333129883
637,-45.534767,-45.53463729858399
638,-45.534767,-45.53464111328125
639,-45.534767,-45.5346448135376
640,-45.534767,-45.5346484375
641,-45.534767,-45.53465194702149
642,-45.534767,-45.53465538024902
643,-45.534767,-45.53465873718262
644,-45.534767,-45.534662094116214
